"BoxOffDomIA" "Anno" "Sequel" "Tipo" "Fonte" "Metodo_Prod" "Genere" "Rating" "Budget"
"Vanity Fair 2004" 20.485856 2004 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" 23
"Vanilla Sky 2001" 139.204816 2001 0 "Contemporary Fiction" "Remake" "Live Action" "Thriller/Suspense" "R" 70
"Van Wilder Deux: The Rise of Taj 2006" 5.132579 2006 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" NA
"Van Helsing 2004" 152.655041 2004 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 170
"Valkyrie 2008" 90.276993 2008 0 "Dramatization" "Real Life Events" "Live Action" "Thriller/Suspense" "PG-13" 75
"Valiant 2005" 23.967769 2005 0 "Kids Fiction" "Original Screenplay" "Digital Animation" "Avventura" "G" 35
"Valentine 2001" 28.415338 2001 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Horror" "R" 10
"Vacancy 2007" 21.861502 2007 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" NA
"Va Savoir (Who Knows?) 2001" 1.260467 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"V for Vendetta 2006" 84.919052 2006 0 "Science Fiction" "Comic/Graphic Novel" "Live Action" "Azione" "R" 50
"Ushpizin 2005" 1.719618 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" NA
"Urbania 2000" 1.503518 2000 0 "Contemporary Fiction" "Play" "Live Action" "Drammatico" "R" 0.225
"Urban Legends: Final Cut 2000" 31.426509 2000 1 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "R" 15
"Uptown Girls 2003" 48.538096 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" NA
"Up the Yangtze 2008" 0.861493 2008 0 "Factual" "Real Life Events" "Live Action" "Documentario" "Not Rated" NA
"Up at the Villa 2000" 4.285075 2000 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
"Untraceable 2008" 31.524653 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 35
"United 93 2006" 37.924342 2006 0 "Dramatization" "Real Life Events" "Live Action" "Drammatico" "R" 18
"Unfaithful 2002" 71.638044 2002 0 "Contemporary Fiction" "Remake" "Live Action" "Drammatico" "R" 50
"Une vieille maîtresse 2008" 0.863363 2008 0 NA "Fiction Source" "Live Action" "Drammatico" "Not Rated" NA
"Undisputed 2002" 16.837378 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" 20
"Undiscovered 2005" 1.287711 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 9
"Underworld: Evolution 2006" 75.068079 2006 1 "Fantasy" "Original Screenplay" "Live Action" "Azione" "R" 45
"Underworld 2003" 67.998497 2003 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Azione" "R" 22
"Underdog 2007" 50.184763 2007 0 "Fantasy" "TV" "Animation/Live Action" "Avventura" "PG" NA
"Undercover Brother 2002" 51.91706 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 25
"Underclassman 2005" 6.9604 2005 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 25
"Under the Tuscan Sun 2003" 57.040163 2003 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "PG-13" NA
"Under the Sand 2001" 2.021237 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Unbreakable 2000" 138.7151 2000 0 "Super Hero" "Original Screenplay" "Live Action" "Thriller/Suspense" "PG-13" 73.243106
"Unaccompanied Minors 2006" 19.96656 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG" 25
"Un conte de No&euml;l 2008" 1.162607 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Ultraviolet 2006" 22.285897 2006 0 "Science Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 30
"U2 3D 2008" 13.258822 2008 0 "Factual" "Real Life Events" "Live Action" "Concerto" "G" 15
"U-571 2000" 112.840216 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Azione" "PG-13" 62
"U Me Aur Hum 2008" 1.129864 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "Not Rated" NA
"Two Weeks Notice 2002" 124.871858 2002 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "PG-13" 60
"Two Family House 2000" 1.485861 2000 0 "Historical Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Two Can Play That Game 2001" 30.996686 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 13
"Two Brothers 2004" 24.073558 2004 0 "Kids Fiction" "Original Screenplay" "Live Action" "Drammatico" "PG" 72
"Twisted 2004" 32.011103 2004 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 50
"Twilight 2008" 211.089052 2008 0 "Fantasy" "Fiction Source" "Live Action" "Drammatico" "PG-13" 37
"Turn It Up 2000" 1.821982 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Drammatico" "R" NA
"Turistas 2006" 8.461299 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "R" 10
"Tupac Resurrection 2003" 10.085022 2003 0 "Factual" "Real Life Events" "Live Action" "Documentario" "R" NA
"Tuck Everlasting 2002" 25.998765 2002 0 "Kids Fiction" "Fiction Source" "Live Action" "Drammatico" "PG" 15
"Tsotsi 2006" 3.50847 2006 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Drammatico" "R" 3
"Trust the Man 2006" 1.843648 2006 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 9
"Troy 2004" 169.360026 2004 0 "Historical Fiction" "Fiction Source" "Live Action" "Azione" "R" 150
"Trouble Every Day 2001" 1.088165 2001 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Horror" "Not Rated" NA
"Tropic Thunder 2008" 121.443708 2008 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Commedia" "R" 90
"Trois 2000" 1.698425 2000 0 "Contemporary Fiction" "Original Screenplay" "Live Action" "Thriller/Suspense" "NC-17" 0.2
"Tristram Shandy: A Cock and Bull Story 2006" 1.502658 2006 0 "Contemporary Fiction" "Fiction Source" "Live Action" "Commedia" "R" 4.75
"Tristan & Isolde 2006" 17.746622 2006 0 "Historical Fiction" "Fiction Source" "Live Action" "Drammatico" "PG-13" NA
